web_scraper_order,web_scraper_start_url,data-page-selector,name_1,multiple_data_spesifik_place,BreadcrumbList_ListItem_name_4,Product_Offer_price_0,room_type_0,bathroom_0,apartment_size_0,luas2_Bangunan,certificate_0,view_0,interior_0,apartment_facilities_0,area_facilities_0,makesure_tipe,floor_level_0,Multipel_detail
1763652682-1,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-1mily-setiabudi-cp-1011803610,"BEST DEAL! Apartemen di Setiabudi, Jakarta Selatan, 2 KT, Luas 73m2m²",Apartemen,"Setiabudi, Jakarta Selatan, Jakarta",Rp 1.500.000.000,2,1,73 m²Luas Apartemen,,Apartemen,,,,,ApartemenJualDiperbaharui : 17 Okt 2025 12:51,Sale,Detail PropertiTipe PropertiApartemenTipe IklanSale
1763652693-2,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/rumah-dijual-1mily-setiabudi-cp-1011766581,"DIJUAL CEPAT! Rumah Premium di Setiabudi, Jakarta Selatan, LT 29m² LB 56m² Bisa Nego!",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 1.070.000.000,2,2,29 m²Luas Tanah,56 m²Luas Bangunan,SHM,Rumah,Semi Furnished,Fasilitas AreaParkir Mobil,,RumahJualDiperbaharui : 16 Okt 2025 12:06,1,Detail PropertiSertifikatSHMCarpots1Daya Listrik2200 WattInteriorSemi FurnishedJumlah Lantai2Tipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur2Kamar Mandi2Tanya Lebih LanjutLihat Lebih Sedikit
1763652704-3,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/rumah-dijual-13mily-setiabudi-cp-1011649719,"Hunian Mewah LT 402m2m² / LB 700m2m² di Kawasan Nyaman Setiabudi, Jakarta Selatan",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 13.000.000.000,15,15,402 m²Luas Tanah,700 m²Luas Bangunan,SHM,Sale,,,,RumahJualDiperbaharui : 24 Okt 2025 10:43,10,Detail PropertiSertifikatSHMCarpots10Daya Listrik23000 WattJumlah Lantai3Tipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur15Kamar Mandi15Tanya Lebih LanjutLihat Lebih Sedikit
1763652715-4,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/dijual-apartemen-sudirman-residences-type-penthouse-kuningan-jakarta-selatan-1003088106,"HOT DEAL! Apartemen di Setiabudi, Jakarta Selatan, 4 KM, Luas 350m², Bisa Segera Huni",Apartemen,"Setiabudi, Jakarta Selatan, Jakarta",Rp 14.000.000.000,3,4,350 m²Luas Apartemen,,Apartemen,,,,,ApartemenJualDiperbaharui : 19 Jul 2025 02:52,Sale,Detail PropertiTipe PropertiApartemenTipe IklanSale
1763652726-5,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-7miliar-setiabudi-cp-1011944365,"Apartemen Kawasan , 1 KM, Luas 217m2m², Premium",Verde,"Setiabudi, Jakarta Selatan, Jakarta",Rp 7.500.000.000,3,1,217 m²Luas Apartemen,,Verde,,Unfurnished,Fasilitas ApartemenInternetWifi,Dekat Tempat IbadahKolam Renang,ApartemenJualDiperbaharui : 30 Okt 2025 13:51,28,Detail PropertiNama ApartemenVerdeTingkat Lantai28Tipe PropertiApartemenTipe IklanSaleInteriorUnfurnished
1763652737-6,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-2mily-setiabudi-cp-1011731421,"BEST DEAL! Apartemen di Setiabudi, 1 KM, Luas 26m²",The Branz Mega Kuningan,"Setiabudi, Jakarta Selatan, Jakarta",Rp 2.100.000.000,1,1,26 m²Luas Apartemen,,The Branz Mega Kuningan,,Semi Furnished,Fasilitas AreaKolam RenangTaman,,ApartemenJualDiperbaharui : 12 Okt 2025 09:46,15,Detail PropertiNama ApartemenThe Branz Mega KuninganTingkat Lantai15Tipe PropertiApartemenTipe IklanSaleInteriorSemi Furnished
1763652749-7,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/rumah-dijual-14miliar-setiabudi-cp-1006365888,"Rumah 1 KT di , Dekat Jakarta Selatan, Jakarta Selatan",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 14.500.000.000,1,1,296 m²Luas Tanah,100 m²Luas Bangunan,SHM,Hook,Unfurnished,Fasilitas RumahTelepon,Taman,RumahJualDiperbaharui : 11 Nov 2025 07:21,Unfurnished,Detail PropertiSertifikatSHMInteriorUnfurnishedJumlah Lantai1Tipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur1Kamar Mandi1Tanya Lebih LanjutLihat Lebih Sedikit
1763652761-8,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-23miliar-setiabudi-cp-1005109447,"PRIME UNIT! Apartemen Kawasan , 3 KM, Luas 355m2m², Area Strategis, Pemandangan Terbaik",St Regis,"Setiabudi, Jakarta Selatan, Jakarta",Rp 23.500.000.000,3,3,355 m²Luas Apartemen,,St Regis,,Semi Furnished,,,ApartemenJualDiperbaharui : 11 Nov 2025 07:20,Apartemen,Detail PropertiNama ApartemenSt RegisTipe PropertiApartemenTipe IklanSaleInteriorSemi Furnished
1763652772-9,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-4mily-setiabudi-cp-1011557737,"Apartemen Strategis Kawasan Setiabudi, 2 KM, Luas 155m²",SETIABUDI SKY GARDEN,"Setiabudi, Jakarta Selatan, Jakarta",Rp 4.300.000.000,3,2,155 m²Luas Apartemen,,SETIABUDI SKY GARDEN,,Full Furnished,Fasilitas ApartemenKolam RenangTV KabelInternetWifiMesin Cuci,Kolam RenangTaman,ApartemenJualDiperbaharui : 29 Sep 2025 16:22,Apartemen,Detail PropertiNama ApartemenSETIABUDI SKY GARDENTipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763652783-10,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-4mily-setiabudi-cp-1011556931,"Apartemen Premium di Setiabudi, 2 KM, Luas 159m²",Setiabudi Residences,"Setiabudi, Jakarta Selatan, Jakarta",Rp 4.000.000.000,2,2,159 m²Luas Apartemen,,Setiabudi Residences,,Full Furnished,,,ApartemenJualDiperbaharui : 29 Sep 2025 15:30,Apartemen,Detail PropertiNama ApartemenSetiabudi ResidencesTipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763652794-11,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-3mily-setiabudi-cp-1011556911,"Apartemen Kawasan Setiabudi, Jakarta Selatan, 2 KM, Luas 146m², Fasilitas Lengkap",Setiabudi Residences,"Setiabudi, Jakarta Selatan, Jakarta",Rp 3.500.000.000,3,2,146 m²Luas Apartemen,,Setiabudi Residences,,Unfurnished,Fasilitas ApartemenKolam RenangInternetCCTVWifiMesin Cuci,Kolam RenangTaman,ApartemenJualDiperbaharui : 29 Sep 2025 15:29,Apartemen,Detail PropertiNama ApartemenSetiabudi ResidencesTipe PropertiApartemenTipe IklanSaleInteriorUnfurnished
1763652805-12,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/dijual-unit-condotel-lantai-10-the-grove-suites-kuningan-1-br-furnished-1010277620,"BEST PRICE! Apartemen Kawasan Setiabudi, Jakarta Selatan, 1 KM, Luas 70m², Siap Huni",The Grove Suites,"Setiabudi, Jakarta Selatan, Jakarta",Rp 2.200.000.000,1,1,70 m²Luas Apartemen,,The Grove Suites,,Full Furnished,Fasilitas AreaDekat Tempat IbadahKolam RenangTaman,,ApartemenJualDiperbaharui : 26 Mei 2025 11:07,1,Detail PropertiNama ApartemenThe Grove SuitesTingkat Lantai1Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763652816-13,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/dijual-unit-condotel-lantai-15-the-grove-suites-kuningan-1-br-furnished-1010277334,"SPECIAL PRICE! Apartemen Kawasan Setiabudi, 1 KM, Luas 70m²",The Grove Suites,"Setiabudi, Jakarta Selatan, Jakarta",Rp 2.500.000.000,1,1,70 m²Luas Apartemen,,The Grove Suites,,Full Furnished,Fasilitas AreaDekat Tempat IbadahKolam RenangTaman,,ApartemenJualDiperbaharui : 26 Mei 2025 11:46,15,Detail PropertiNama ApartemenThe Grove SuitesTingkat Lantai15Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763652829-14,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-8mily-setiabudi-cp-1011874720,"BEST LOCATION! Apartemen Kawasan Setiabudi, 3 KT, Luas 196m2m², Siap Huni, Fasilitas Terlengkap",Four Seasons Residences,"Setiabudi, Jakarta Selatan, Jakarta",Rp 8.000.000.000,3,2,196 m²Luas Apartemen,,Four Seasons Residences,,Full Furnished,Fasilitas ApartemenKolam RenangTV KabelInternetCCTVTeleponWifiMesin CuciLihat Lebih Sedikit,Kolam RenangTaman,ApartemenJualDiperbaharui : 23 Okt 2025 22:48,1,Detail PropertiNama ApartemenFour Seasons ResidencesTingkat Lantai1Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763652840-15,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/dijual-unit-apartemen-setiabudi-residence-jakarta-selatan-1009493654,"SPECIAL PROPERTY! Rumah area Setiabudi, Luas 85m² LB 85m²",Rumah,"Setiabudi, Jakarta Selatan, Jakarta",Rp 2.250.000.000,2,1,85 m²Luas Tanah,85 m²Luas Bangunan,Rumah,,,,,RumahJualDiperbaharui : 10 Sep 2025 05:39,Sale,Detail PropertiTipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur2Kamar Mandi1
1763652851-16,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/rumah-utama-beserta-kontrakan-13-pintu-di-karet-setiabudi-kuningan-1010646176,"Dijual Rumah 2 KT di Setiabudi, Jakarta Selatan - LT 230m²",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 19.000.000.000,2,2,230 m²Luas Tanah,250 m²Luas Bangunan,SHM,2,,,,RumahJualDiperbaharui : 10 Sep 2025 05:50,1,Detail PropertiSertifikatSHMCarpots1Tipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur2Kamar Mandi2Tanya Lebih LanjutLihat Lebih Sedikit
1763652864-17,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/rumah-dijual-8mily-setiabudi-cp-1006364766,"Jual Segera Rumah LT 202m² / LB 150m² di Lokasi Strategis Setiabudi, Jakarta Selatan",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 8.000.000.000,2,2,202 m²Luas Tanah,150 m²Luas Bangunan,SHM,Hook,Unfurnished,Fasilitas RumahTelepon,,RumahJualDiperbaharui : 12 Okt 2025 04:58,Unfurnished,Detail PropertiSertifikatSHMInteriorUnfurnishedJumlah Lantai1Tipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur2Kamar Mandi2Tanya Lebih LanjutLihat Lebih Sedikit
1763652876-18,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/rumah-dijual-10mily-setiabudi-cp-1007330969,"DIJUAL CEPAT! Rumah Asri area Setiabudi, Jakarta Selatan, LT 228m² Bangunan 228m² Bisa Nego!",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 10.000.000.000,8,5,228 m²Luas Tanah,228 m²Luas Bangunan,SHM,8,,,,RumahJualDiperbaharui : 20 Sep 2025 20:25,1,Detail PropertiSertifikatSHMGarasi1Tipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur8Kamar Mandi5Tanya Lebih LanjutLihat Lebih Sedikit
1763652887-19,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/dijual-apartement-harga-dibawah-njop-rasuna-kuningan-2br-1011071704,"UNIT PREMIUM! Apartemen di Setiabudi, 3 KT, Luas 90m², Lokasi Elite, Pemandangan Kota",Apartemen,"Setiabudi, Jakarta Selatan, Jakarta",Rp 1.400.000.000,3,1,90 m²Luas Apartemen,,Apartemen,,,,,ApartemenJualDiperbaharui : 20 Agt 2025 10:16,Sale,Detail PropertiTipe PropertiApartemenTipe IklanSale
1763652900-20,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=14,https://www.99.co/id/properti/apartemen-dijual-1mily-setiabudi-cp-1010332578,"Apartemen Eksklusif Kawasan Setiabudi, 1 KT, Luas 24m², Akses ke Setiabudi, Jakarta Selatan, Jakarta Selatan, Fasilitas Premium",The Newton 1,"Setiabudi, Jakarta Selatan, Jakarta",Rp 1.200.000.000,1,1,24 m²Luas Apartemen,,The Newton 1,,Full Furnished,Fasilitas ApartemenKolam RenangTV KabelInternetCCTVTeleponWifiMesin CuciLihat Lebih Sedikit,Dekat Tempat IbadahKolam RenangTaman,ApartemenJualDiperbaharui : 11 Okt 2025 17:30,Apartemen,Detail PropertiNama ApartemenThe Newton 1Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
