data-page-selector,name_1,multiple_data_spesifik_place,interior_0,property_typ,Date_time,electrical,certificate,facility_list,bed_room_numeric,bathroom_numeric,land_size_numeric,luas2_Bangunan_numeric,price_numeric,has_electrical_info,certificate_strength,interior_quality,is_apartment,effective_area,price_per_m2,building_to_land_ratio,total_facilities,has_kolam_renang,has_tv_kabel,has_ac,has_keamanan_24_jam,has_internet,has_wifi,is_premium_location,log_price,log_effective_area,log_price_per_m2,price_segment,combined_segment
https://www.99.co/id/properti/apartemen-dijual-1mily-setiabudi-cp-1011803610,"BEST DEAL! Apartemen di Setiabudi, Jakarta Selatan, 2 KT, Luas 73m2m²",Setiabudi Area,Unfurnished,Apartemen,2025-10-17 12:51:00,0.0,Lainnya,[],2.0,1.0,,73.0,1500000000,0,1.0,1,1,73.0,20547945.20547945,1.0,0,0,0,0,0,0,0,0,21.12873094572124,4.304065093204169,16.83827155257285,budget,apartment_budget
https://www.99.co/id/properti/rumah-dijual-1mily-setiabudi-cp-1011766581,"DIJUAL CEPAT! Rumah Premium di Setiabudi, Jakarta Selatan, LT 29m² LB 56m² Bisa Nego!",Setiabudi Area,Semi Furnished,Rumah,2025-10-16 12:06:00,2200.0,SHM,['Parkir Mobil'],2.0,2.0,56.0,29.0,1070000000,1,4.0,2,0,56.0,19107142.85714286,0.5178571428571429,1,0,0,0,0,0,0,0,20.790924486354804,4.04305126783455,16.765572847021524,budget,house_budget
https://www.99.co/id/properti/dijual-apartemen-sudirman-residences-type-penthouse-kuningan-jakarta-selatan-1003088106,"HOT DEAL! Apartemen di Setiabudi, Jakarta Selatan, 4 KM, Luas 350m², Bisa Segera Huni",Setiabudi Area,Unfurnished,Apartemen,2025-07-19 02:52:00,0.0,Lainnya,[],3.0,4.0,,350.0,14000000000,0,1.0,1,1,350.0,40000000.0,1.0,0,0,0,0,0,0,0,0,23.362323166633097,5.860786223465865,17.50439003707821,medium,apartment_medium
https://www.99.co/id/properti/apartemen-dijual-7miliar-setiabudi-cp-1011944365,"Apartemen Kawasan , 1 KM, Luas 217m2m², Premium",Verde,Unfurnished,Apartemen,2025-10-30 13:51:00,0.0,Lainnya,"['Internet', 'Wifi']",3.0,1.0,,217.0,7500000000,0,1.0,1,1,217.0,34562211.98156682,1.0,2,0,0,0,0,1,1,1,22.73816885762201,5.384495062789089,17.35827153288155,medium,apartment_medium
https://www.99.co/id/properti/apartemen-dijual-2mily-setiabudi-cp-1011731421,"BEST DEAL! Apartemen di Setiabudi, 1 KM, Luas 26m²",The Branz Mega Kuningan,Semi Furnished,Apartemen,2025-10-12 09:46:00,0.0,Lainnya,"['Kolam Renang', 'Taman']",1.0,1.0,,26.0,2100000000,0,1.0,2,1,26.0,75462505.27955228,1.0,2,1,0,0,0,0,0,0,21.465203182151978,3.295836866004329,18.207106656035258,budget,apartment_budget
https://www.99.co/id/properti/rumah-dijual-14miliar-setiabudi-cp-1006365888,"Rumah 1 KT di , Dekat Jakarta Selatan, Jakarta Selatan",Setiabudi Area,Unfurnished,Rumah,2025-11-11 07:21:00,0.0,SHM,['Telepon'],1.0,1.0,296.0,100.0,14500000000,0,4.0,1,0,296.0,48986486.48648649,0.373134328358209,1,0,0,0,0,0,0,0,23.397414486441907,5.6937321388027,17.70705505246267,medium,house_medium
https://www.99.co/id/properti/apartemen-dijual-23miliar-setiabudi-cp-1005109447,"PRIME UNIT! Apartemen Kawasan , 3 KM, Luas 355m2m², Area Strategis, Pemandangan Terbaik",St Regis,Semi Furnished,Apartemen,2025-11-11 07:20:00,0.0,Lainnya,[],3.0,3.0,,355.0,23500000000,0,1.0,2,1,355.0,66197183.09859155,1.0,0,0,0,0,0,0,0,1,23.880266258139077,5.87493073085203,18.008148483727492,luxury,apartment_luxury
https://www.99.co/id/properti/apartemen-dijual-4mily-setiabudi-cp-1011557737,"Apartemen Strategis Kawasan Setiabudi, 2 KM, Luas 155m²",SETIABUDI SKY GARDEN,Full Furnished,Apartemen,2025-09-29 16:22:00,0.0,Lainnya,"['Kolam Renang', 'TV Kabel', 'Internet', 'Wifi', 'Mesin Cuci']",3.0,2.0,,155.0,4300000000,0,1.0,3,1,155.0,27741935.48387097,1.0,5,1,1,0,0,1,1,0,22.181880859878486,5.049856007249537,17.138455778773192,budget,apartment_budget
https://www.99.co/id/properti/apartemen-dijual-4mily-setiabudi-cp-1011556931,"Apartemen Premium di Setiabudi, 2 KM, Luas 159m²",Setiabudi Residences,Full Furnished,Apartemen,2025-09-29 15:30:00,0.0,Lainnya,[],2.0,2.0,,159.0,4000000000,0,1.0,3,1,159.0,25157232.704402518,1.0,0,0,0,0,0,0,0,1,22.109560198316302,5.075173815233827,17.04065603559607,budget,apartment_budget
https://www.99.co/id/properti/apartemen-dijual-3mily-setiabudi-cp-1011556911,"Apartemen Kawasan Setiabudi, Jakarta Selatan, 2 KM, Luas 146m², Fasilitas Lengkap",Setiabudi Residences,Unfurnished,Apartemen,2025-09-29 15:29:00,0.0,Lainnya,"['Kolam Renang', 'Internet', 'CCTV', 'Wifi', 'Mesin Cuci']",3.0,2.0,,146.0,3500000000,0,1.0,1,1,146.0,23972602.739726026,1.0,5,1,0,0,0,1,1,1,21.976028805727495,4.990432586778736,16.992422225447726,budget,apartment_budget
https://www.99.co/id/properti/dijual-unit-condotel-lantai-10-the-grove-suites-kuningan-1-br-furnished-1010277620,"BEST PRICE! Apartemen Kawasan Setiabudi, Jakarta Selatan, 1 KM, Luas 70m², Siap Huni",The Grove Suites,Full Furnished,Apartemen,2025-05-26 11:07:00,0.0,Lainnya,"['Dekat Tempat Ibadah', 'Kolam Renang', 'Taman']",1.0,1.0,,70.0,2200000000,0,1.0,3,1,70.0,31428571.42857143,1.0,3,1,0,0,0,0,0,0,21.511723197765228,4.2626798770413155,17.263227987079503,budget,apartment_budget
https://www.99.co/id/properti/dijual-unit-condotel-lantai-15-the-grove-suites-kuningan-1-br-furnished-1010277334,"SPECIAL PRICE! Apartemen Kawasan Setiabudi, 1 KM, Luas 70m²",The Grove Suites,Full Furnished,Apartemen,2025-05-26 11:46:00,0.0,Lainnya,"['Dekat Tempat Ibadah', 'Kolam Renang', 'Taman']",1.0,1.0,,70.0,2500000000,0,1.0,3,1,70.0,35714285.71428572,1.0,3,1,0,0,0,0,0,0,21.639556569220566,4.2626798770413155,17.391061354771207,budget,apartment_budget
https://www.99.co/id/properti/apartemen-dijual-8mily-setiabudi-cp-1011874720,"BEST LOCATION! Apartemen Kawasan Setiabudi, 3 KT, Luas 196m2m², Siap Huni, Fasilitas Terlengkap",Four Seasons Residences,Full Furnished,Apartemen,2025-10-23 22:48:00,0.0,Lainnya,"['Kolam Renang', 'TV Kabel', 'Internet', 'CCTV', 'Telepon', 'Wifi', 'Mesin Cuci']",3.0,2.0,,196.0,8000000000,0,1.0,3,1,196.0,40816326.530612245,1.0,7,1,1,0,0,1,1,1,22.802707378751247,5.2832037287379885,17.52459274389573,medium,apartment_medium
https://www.99.co/id/properti/dijual-unit-apartemen-setiabudi-residence-jakarta-selatan-1009493654,"SPECIAL PROPERTY! Rumah area Setiabudi, Luas 85m² LB 85m²",Setiabudi Area,Unfurnished,Rumah,2025-09-10 05:39:00,0.0,Lainnya,[],2.0,1.0,85.0,85.0,2250000000,0,1.0,1,0,85.0,26470588.23529412,1.0,0,0,0,0,0,0,0,0,21.534196053607186,4.454347296253507,17.0915448344502,budget,house_budget
https://www.99.co/id/properti/rumah-utama-beserta-kontrakan-13-pintu-di-karet-setiabudi-kuningan-1010646176,"Dijual Rumah 2 KT di Setiabudi, Jakarta Selatan - LT 230m²",Setiabudi Area,Unfurnished,Rumah,2025-09-10 05:50:00,0.0,SHM,[],2.0,2.0,250.0,230.0,19000000000,0,4.0,1,0,250.0,76000000.0,0.92,0,0,0,0,0,0,0,0,23.667704816165482,5.5254529391317835,18.1462439114085,medium,house_medium
https://www.99.co/id/properti/rumah-dijual-8mily-setiabudi-cp-1006364766,"Jual Segera Rumah LT 202m² / LB 150m² di Lokasi Strategis Setiabudi, Jakarta Selatan",Setiabudi Area,Unfurnished,Rumah,2025-10-12 04:58:00,0.0,SHM,['Telepon'],2.0,2.0,202.0,150.0,8000000000,0,4.0,1,0,202.0,39603960.396039605,0.7425742574257426,1,0,0,0,0,0,0,0,22.802707378751247,5.313205979041787,17.494439706475042,medium,house_medium
https://www.99.co/id/properti/dijual-apartement-harga-dibawah-njop-rasuna-kuningan-2br-1011071704,"UNIT PREMIUM! Apartemen di Setiabudi, 3 KT, Luas 90m², Lokasi Elite, Pemandangan Kota",Setiabudi Area,Unfurnished,Apartemen,,0.0,Lainnya,[],3.0,1.0,,90.0,1400000000,0,1.0,1,1,90.0,15555555.555555556,1.0,0,0,0,0,0,0,0,0,21.05973807428191,4.51085950651685,16.559928467523072,budget,apartment_budget
